Setting up GPIOs ... exporting gpio (aspeed-gpio, GPIOY0), shadow=BOARD_REV_ID0
exporting gpio (aspeed-gpio, GPIOP6), shadow=FANCARD_I2C_ALARM
exporting gpio (aspeed-gpio, GPIOP7), shadow=BMC_READY_N
exporting gpio (aspeed-gpio, GPIOQ4), shadow=BMC_CPLD_POWER_INT
exporting gpio (aspeed-gpio, GPIOQ5), shadow=BMC_CPLD_SPARE7
exporting gpio (aspeed-gpio, GPIOQ6), shadow=USB_OCS_N1
exporting gpio (aspeed-gpio, GPIOQ7), shadow=BMC_HEARTBEAT_N
exporting gpio (aspeed-gpio, GPIOR0), shadow=SPI_IBMC_BT_CS1_N_R
exporting gpio (aspeed-gpio, GPIOR6), shadow=SWITCH_MDC
exporting gpio (aspeed-gpio, GPIOR7), shadow=SWITCH_MDIO
exporting gpio (aspeed-gpio, GPIOS0), shadow=BMC_SPI_WP_N
exporting gpio (aspeed-gpio, GPIOY3), shadow=LED_POSTCODE_4
Done

